;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;Berlin;14;Matthis;Birkhaus;M;1;Berlin;7;2;Munich;Silver;Final;2
Capital Cup 2015;MXO;Berlin;20;Jacopo;Ghisolfi;M;1;Berlin;7;2;Munich;Silver;Final;2
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;24;Francois;Bernard;M;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;11;Aube;Charras;F;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;7;Kate;Martinez;F;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;21;Axelle;Schaal;;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;12;Pauline;Giboin;F;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;33;Jean-Michael;Granet;M;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;20;Romain;Grohier;M;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;30;Mikael;Gros;M;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;27;Julien;Amiot;;;;;;;;;
Capital Cup 2015;MXO;Courant d'R;7;Kate;Martinez;F;1;Courant d'R;2;3;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Courant d'R;20;Romain;Grohier;M;1;Courant d'R;2;3;Lokomotive Wien;Gold;Pool C;4
Capital Cup 2015;MXO;Courant d'R;24;Francois;Bernard;M;1;Courant d'R;1;8;Frankfurt;Gold;Pool C;4
Capital Cup 2015;MXO;Courant d'R;21;Axelle;Schaal;;1;Courant d'R;4;7;Baden Banditos;Wood;Semifinal;2
Capital Cup 2015;MXO;Courant d'R;7;Kate;Martinez;F;1;Courant d'R;4;7;Baden Banditos;Wood;Semifinal;2
Capital Cup 2015;MXO;Courant d'R;12;Pauline;Giboin;F;1;Courant d'R;4;7;Baden Banditos;Wood;Semifinal;2
Capital Cup 2015;MXO;Courant d'R;33;Jean-Michael;Granet;M;1;Courant d'R;4;2;BRC Bears;Wood;Third position;2
Capital Cup 2015;MXO;Courant d'R;21;Axelle;Schaal;;1;Courant d'R;4;2;BRC Bears;Wood;Third position;2
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Capital Cup 2015;MXO;Turtleln Touch Modena;22;Stefania;Melzani;F;1;Turtleln Touch Modena;5;3;BRC Bears;Gold;Pool D;4
Capital Cup 2015;MXO;Turtleln Touch Modena;11;Giulio;Benatti;M;1;Turtleln Touch Modena;5;3;BRC Bears;Gold;Pool D;4
Capital Cup 2015;MXO;Turtleln Touch Modena;12;Giacomo;Genesini;M;1;Turtleln Touch Modena;5;3;BRC Bears;Gold;Pool D;4
Capital Cup 2015;MXO;Turtleln Touch Modena;4;Cristian;Spadoni;M;1;Turtleln Touch Modena;5;3;BRC Bears;Gold;Pool D;4
Capital Cup 2015;MXO;Turtleln Touch Modena;13;Nicola;Paradiso;M;1;Turtleln Touch Modena;5;3;BRC Bears;Gold;Pool D;4
